,f1,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/hidden_dim,config/optimizer,config/lr,config/epochs,config/activation,config/dropout,logdir
18,0.4616025365095263,1736681007,,True,30,00214_00022,2025-01-12_11-23-27,0.16930913925170898,6.87229061126709,14117,52f1317f08b4,172.28.0.12,6.87229061126709,30,32,128,NAdam,4.421317213583293e-05,100,<class 'torch.nn.modules.activation.Tanh'>,0.22572858190730993,00214_00022
34,0.4501996588263666,1736681403,,True,30,00214_00042,2025-01-12_11-30-03,0.10239195823669434,4.446550369262695,17305,52f1317f08b4,172.28.0.12,4.446550369262695,30,64,512,Adam,0.0001149617034666453,100,<class 'torch.nn.modules.activation.Tanh'>,0.3596784886275275,00214_00042
0,0.3621027275328077,1736680330,,False,100,00214_00000,2025-01-12_11-12-10,0.09562563896179199,15.788547277450562,9532,52f1317f08b4,172.28.0.12,15.788547277450562,100,64,64,AdamW,4.964049720037192e-05,100,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2114461805832161,00214_00000
5,0.31791032496914856,1736680626,,True,30,00214_00006,2025-01-12_11-17-06,0.6270925998687744,17.50423240661621,11253,52f1317f08b4,172.28.0.12,17.50423240661621,30,8,64,SGD,0.00289406521466768,50,<class 'torch.nn.modules.activation.Tanh'>,0.31541208009564736,00214_00006
36,0.31791032496914856,1736681447,,True,30,00214_00045,2025-01-12_11-30-47,0.09309196472167969,4.255047082901001,17718,52f1317f08b4,172.28.0.12,4.255047082901001,30,64,64,Adagrad,4.8970638426400064e-05,200,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4127199165587334,00214_00045
10,0.31791032496914856,1736680732,,True,30,00214_00012,2025-01-12_11-18-52,0.5018329620361328,17.019005298614502,12150,52f1317f08b4,172.28.0.12,17.019005298614502,30,8,512,SGD,0.0042315045648416835,300,<class 'torch.nn.modules.activation.LeakyReLU'>,0.30757761816774337,00214_00012
31,0.31791032496914856,1736681360,,True,30,00214_00038,2025-01-12_11-29-20,0.5445427894592285,19.171684741973877,16760,52f1317f08b4,172.28.0.12,19.171684741973877,30,8,256,Adagrad,1.1133247510110253e-05,50,<class 'torch.nn.modules.activation.Tanh'>,0.40585312260314005,00214_00038
11,0.18625176811262906,1736680743,,True,30,00214_00013,2025-01-12_11-19-03,0.09473180770874023,4.189191579818726,12323,52f1317f08b4,172.28.0.12,4.189191579818726,30,64,128,Adagrad,0.0006220002667958141,250,<class 'torch.nn.modules.activation.LeakyReLU'>,0.25384984973740726,00214_00013
1,0.16043541994420385,1736680355,,True,30,00214_00001,2025-01-12_11-12-35,0.5378634929656982,18.303520679473877,9701,52f1317f08b4,172.28.0.12,18.303520679473877,30,8,64,Adagrad,0.0005246007937935207,150,<class 'torch.nn.modules.activation.Tanh'>,0.26535813302690836,00214_00001
26,0.14228513422061806,1736681265,,True,30,00214_00032,2025-01-12_11-27-45,0.3551919460296631,10.475957155227661,15940,52f1317f08b4,172.28.0.12,10.475957155227661,30,16,256,Adagrad,0.0001884464131992759,50,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3665774211055086,00214_00032
38,0.14190367273477192,1736681501,,True,30,00214_00048,2025-01-12_11-31-41,0.28838443756103516,11.198867797851562,18144,52f1317f08b4,172.28.0.12,11.198867797851562,30,16,256,Adagrad,4.687551446748268e-05,300,<class 'torch.nn.modules.activation.Tanh'>,0.3797052195990207,00214_00048
17,0.013518687431730911,1736680995,,True,30,00214_00021,2025-01-12_11-23-15,0.17020773887634277,6.387972831726074,13990,52f1317f08b4,172.28.0.12,6.387972831726074,30,32,64,Adagrad,0.0002490461048327787,200,<class 'torch.nn.modules.activation.LeakyReLU'>,0.20430576454508287,00214_00021
25,0.013518687431730911,1736681247,,True,30,00214_00031,2025-01-12_11-27-27,0.28722047805786133,11.24839186668396,15792,52f1317f08b4,172.28.0.12,11.24839186668396,30,16,128,Adagrad,2.0035996070364706e-05,50,<class 'torch.nn.modules.activation.ReLU'>,0.2556211264943797,00214_00031
23,0.004892777771313544,1736681148,,True,30,00214_00029,2025-01-12_11-25-48,0.26784229278564453,10.570446729660034,15227,52f1317f08b4,172.28.0.12,10.570446729660034,30,16,512,SGD,2.1544173323395244e-05,400,<class 'torch.nn.modules.activation.LeakyReLU'>,0.34412245635859073,00214_00029
